avg_burst_time,burst_variance,arrival_staggering,number_of_processes,context_switch_penalty,preemption_cost,efficiency_weight,fairness_weight,starvation_weight,algorithm_id,total_cost
15.714285714285714,33.34693877551021,1.8294640678379568,7,0.5,0.5,1.5,0.05,0.2,0,128.71224489795918
15.714285714285714,33.34693877551021,1.8294640678379568,7,0.5,0.5,1.5,0.05,0.2,1,122.92448979591836
15.714285714285714,33.34693877551021,1.8294640678379568,7,0.5,0.5,1.5,0.05,0.2,2,124.24081632653062
15.714285714285714,33.34693877551021,1.8294640678379568,7,0.5,0.5,1.5,0.05,0.2,3,180.46734693877548
15.714285714285714,33.34693877551021,1.8294640678379568,7,0.5,0.5,1.5,0.05,0.2,4,130.61020408163265
11.25,7.9375,3.5355339059327378,8,0.5,0.5,1.5,0.05,0.2,0,97.15
11.25,7.9375,3.5355339059327378,8,0.5,0.5,1.5,0.05,0.2,1,91.34921875
11.25,7.9375,3.5355339059327378,8,0.5,0.5,1.5,0.05,0.2,2,90.54921875
11.25,7.9375,3.5355339059327378,8,0.5,0.5,1.5,0.05,0.2,3,128.009375
11.25,7.9375,3.5355339059327378,8,0.5,0.5,1.5,0.05,0.2,4,96.59296875000001
9.571428571428571,1.959183673469388,0.7284313590846835,7,2.0,3.0,0.1,1.5,3.0,0,740.2122448979592
9.571428571428571,1.959183673469388,0.7284313590846835,7,2.0,3.0,0.1,1.5,3.0,1,645.6918367346939
9.571428571428571,1.959183673469388,0.7284313590846835,7,2.0,3.0,0.1,1.5,3.0,2,633.6918367346939
9.571428571428571,1.959183673469388,0.7284313590846835,7,2.0,3.0,0.1,1.5,3.0,3,250.24081632653062
9.571428571428571,1.959183673469388,0.7284313590846835,7,2.0,3.0,0.1,1.5,3.0,4,736.6836734693878
9.4,10.64,6.752777206453653,5,0.5,1.0,0.2,0.1,0.2,0,2016.28
9.4,10.64,6.752777206453653,5,0.5,1.0,0.2,0.1,0.2,1,1015.296
9.4,10.64,6.752777206453653,5,0.5,1.0,0.2,0.1,0.2,2,17.52
9.4,10.64,6.752777206453653,5,0.5,1.0,0.2,0.1,0.2,3,2022.176
9.4,10.64,6.752777206453653,5,0.5,1.0,0.2,0.1,0.2,4,20.584000000000003
9.166666666666666,39.138888888888886,1.707825127659933,6,0.5,0.5,1.5,0.05,0.2,0,62.67777777777778
9.166666666666666,39.138888888888886,1.707825127659933,6,0.5,0.5,1.5,0.05,0.2,1,43.329166666666666
9.166666666666666,39.138888888888886,1.707825127659933,6,0.5,0.5,1.5,0.05,0.2,2,37.5
9.166666666666666,39.138888888888886,1.707825127659933,6,0.5,0.5,1.5,0.05,0.2,3,60.16111111111111
9.166666666666666,39.138888888888886,1.707825127659933,6,0.5,0.5,1.5,0.05,0.2,4,55.579166666666666
9.0,8.571428571428571,1.5907898179514348,7,2.0,3.0,0.1,1.5,3.0,0,624.1632653061224
9.0,8.571428571428571,1.5907898179514348,7,2.0,3.0,0.1,1.5,3.0,1,528.3836734693878
